CreditScore,DTI,RiskCategory,Average of LoanAmount,Average of Income,Average of Debt,First LoanPurpose,Average of DefaultProbability
529.0243922089587,0.5814080175164682,Medium,5000,64112.34550949634,37275.43170100711,Real Estate,0.3941138158857559
530.4432014549639,0.3222167991265213,Medium,31422.79371715864,61161.83860237511,19707.371863150216,Personal,0.3065482913121639
542.6247578637383,0.22265823155425254,Low,24038.83353776925,88637.82979252623,19735.94243041073,Real Estate,0.23856932572015377
548.2126130491561,0.44654091847096394,Medium,34608.144026121605,65247.87551855013,29135.846262332496,Business,0.3763663044350482
549.7893071686433,0.15439245375593197,Low,42801.019302659966,83876.38856292456,12949.881442415912,Education,0.23935388122334658
551.8833170602345,0.2249314077126602,Low,40730.60689624846,97856.45629030041,22010.990467149673,Personal,0.26810131461763886
553.5219961152849,0.12567157552473757,Low,10072.772772199309,85353.18040938246,10726.46865809426,Real Estate,0.17337462900324457
558.0591420861786,0.09588369565907434,Low,51323.99607470862,73559.79756839332,7053.185242790942,Business,0.2258558643025101
565.1909523431381,0.6307377563886374,Medium,8242.203074394965,64634.59563452705,40767.47983560841,Business,0.4162639453097515
567.6555333007698,0.15282010917277902,Low,42196.613056010916,64799.672022905055,9902.692952900625,Real Estate,0.23187952251794403
568.0884383337514,0.23617042784117676,Low,29525.50013352603,125538.64851747244,29648.516330974577,Real Estate,0.2466001424331805
569.0349813626233,0.4744570075957419,Medium,31365.90906791519,55448.89510402898,26308.116845547775,Education,0.37651242966323034
569.4069044335247,0.14325268697370325,Low,13297.013063238059,70530.74429348299,10103.718634296625,Business,0.18038609355559201
569.7216971450465,0.7233890001630605,Medium,41229.77213874913,50106.90593377166,36246.784584695604,Real Estate,0.553637562584562
572.3328540064377,0.44976953230274463,Medium,10529.418613739277,65579.23388763354,29495.54135441324,Education,0.31425929771414624
573.47167600964,0.2356463613981969,Low,33738.56978213208,85145.48062214596,20064.222698109377,Education,0.252465238354891
573.9649923682467,0.5615774208167655,Medium,27633.04344367897,64382.624541593585,36155.82823548232,Personal,0.41760682169717195
574.9986746174188,0.19671831302841458,Low,22627.692334415195,97066.03764033043,19094.66717695839,Real Estate,0.21473258753196775
575.6486490698966,0.3568522881292908,Low,8539.475215434002,47413.61543970945,16919.65715814259,Personal,0.26147329921572904
575.7943530250706,0.24298929972647296,Medium,45901.81791286647,71657.63839366291,17412.039373328975,Business,0.278962003073579
579.8068817796623,0.18651844263837475,Low,5000,81284.94665190548,15161.141659456785,Education,0.18139977994202183
581.4948091144082,0.2518353007510446,Low,8937.213719733418,75911.43679807628,19117.179516487453,Personal,0.21295460261403387
581.8687154163711,0.2822301578412411,Low,26093.111470232732,59443.66624818249,16776.7953078866,Personal,0.25724818559590146
583.6163710327195,0.10516297378068652,Low,7239.5416266616085,96309.60750130702,10128.204728488161,Education,0.15517075264274469
584.0163421901171,0.3522061596578084,Low,5000,92632.79513898901,32625.84103427182,Business,0.24972084399931122
584.3872512290111,0.3343845916459837,Low,19042.070257810185,77562.0882982158,25935.56722280862,Business,0.26798118622360884
585.3192666523107,0.3837231257778865,Medium,33348.29686800637,70316.93250553327,26982.2331361359,Education,0.32297668571580074
586.0037807430477,0.24988382617037772,Low,5000,71886.45529215841,17963.262498230342,Personal,0.2043354366335543
586.1723646979062,0.20158732509154514,Low,12640.967695420006,90139.77233290704,18171.0355889516,Education,0.19717520068708622
586.6730024319692,0.48833208216565016,Medium,36690.23505857999,60693.925814800634,29638.791167949097,Education,0.38993802302985076
587.6906068880953,0.43133412811152,Medium,5000,57031.70657303284,24599.721429391164,Personal,0.28725246921429987
588.9698349725742,0.24328417431691413,Medium,55229.126656909604,74196.84098711313,18050.91719647319,Real Estate,0.29341472782532885
590.7066754032944,0.1358427116924895,Low,28181.400296112628,88630.01394745249,12039.74143196511,Education,0.19450443017649785
591.0706207996742,0.17545797152956577,Low,11825.153842303916,107648.22607863271,18887.739386512996,Education,0.18449738568834467
591.1876833266774,0.06043081373395168,Low,32704.216963466442,68816.55753062721,4158.6405699451025,Business,0.17290844258912372
591.188238355084,0.06397304693484812,Low,31872.521721830482,81454.37120676179,5210.884312258713,Education,0.1729853461973128
591.5462047555441,0.3860153829225218,Medium,21900.8308045593,78937.22471738247,30470.983026121547,Education,0.29736895130700497
593.7096635604702,0.27611379917896245,Low,12074.453946156127,77270.34690502496,21335.409047822825,Real Estate,0.22501198482199006
594.6321021203527,0.14175492948759974,Low,27666.25159402047,75251.8480156359,10667.320409268039,Education,0.19492808254767569
594.806420658664,0.5629097292903682,Medium,21962.13659402755,48110.98977931446,27082.144232565573,Business,0.3958558496020199
597.2556281885852,0.3941286364019717,Medium,28643.230197254125,74927.94921818863,29531.25045376087,Education,0.3138401954090913
597.8405594422916,0.1424565132786252,Low,11550.366590271879,80939.69346466372,11530.386516816721,Real Estate,0.1703190476838147
598.0257918737283,0.38632202081329603,Medium,19758.41009174566,79876.01427542398,30857.86324939347,Real Estate,0.2907074809378847
598.476337814243,0.24398204825062092,Low,5814.538956703203,79866.78898645383,19486.062764115137,Business,0.19972177049661854
599.6169486440971,0.04079763904282627,Low,5000,75260.03783755813,3070.431858046144,Personal,0.1294136080842337
599.6220067815512,0.5046875075027643,Medium,23595.45716891244,65731.64614375075,33173.94065634326,Personal,0.3634356773283879
599.671144963066,0.37013304857570123,Medium,29390.7322321278,73889.04602206762,27348.777860498176,Personal,0.3017447519053793
599.9548010761742,0.17980644411088484,Low,14385.611577669608,50260.985782438365,9037.249131047982,Business,0.18764713657689822
600.0937824058126,0.3186597601619709,Low,18854.70111055754,66069.70095865958,21053.7550614596,Real Estate,0.254682502749448
600.7008343881021,0.24759565509496978,Low,17028.181729611773,76731.795749458,18998.459235200473,Real Estate,0.21912215987832345
601.7598614318972,0.3199875476978025,Low,22746.3551680261,110045.40886847246,35213.16051922451,Real Estate,0.2622132453377802
601.7879194144474,0.10672611824729501,Low,40880.927948258184,92315.10388340242,9852.43269307133,Real Estate,0.1999904409555102
602.3120616991968,0.388314189221601,Medium,23057.24129704839,75102.26913284922,29163.276747024815,Education,0.2970164949079762
602.5690850568127,0.23235385411074552,Low,13604.453237795695,94451.0889925346,21946.074552372425,Education,0.20645495689377014
